Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
Aerogel,Cerámicos,120.00,10.00,0.00,0.00,0.02,0.00,1.00,4.80,773.00,www.matweb,2020-2
Manta Aislamiento Zirconia-alumina,Cerámicos,130.00,96.00,205.00,400.00,1400.00,,100.00,5.60,2281.15,DiaTerm. interempresas. MatWeb,Diego Rojas
OXIDO DE SILICIO,Cerámicos,8.00,180.00,66.30,,300.00,,3500.00,0.67,1988.15,MATWEB,2020-2
Acetato Butirado de Celulosa,Cerámicos,164.00,800.00,50.00,,300.00,,340.00,2.50,,Matweb. Precio ,Nikolai Fandiño
Bentonita,Cerámicos,3.12,1360.00,2.00,1.56,55.00,20.00,250.00,3.40,1473.15,researchgate . Matweb .  skb. marphil,Diego Rojas
Arenisca suave,Cerámicos,2.00,1600.00,1.00,,0.00,,89.00,5.60,,Matweb,Pablo Galvis
Porcelana,Cerámicos,4.20,1730.00,55.00,,21.00,,2000.00,0.67,1370.00,srvcalidad,2020-2
CeramTec 447 Cordierite,Cerámicos,20.00,1800.00,125.00,17.20,123.00,,280.00,12.00,1373.15,Matweb. Costos,Argoty Avance 8
Cemento Portland,Cerámicos,0.23,2010.00,33.00,,0.91,0.00,420.00,7.90,1873.15,Matweb. Propiedades. Precio,Daisy Gutiérrez
Nitruro de Boro,Cerámicos,1704.00,2030.00,55.00,,25.00,0.00,5000.00,3.90,3246.00,Azom. Temperatura. Propiedades. Precio,2020-2
Arenisca Dura,Cerámicos,2.50,2100.00,60.00,,0.02,,344.00,1.50,,Matweb,Pablo Galvis
Dióxido de silicio,Cerámicos,20.00,2100.00,65.00,,69.00,0.00,610.00,7.00,1986.00,Azom . Temperatura. Propiedades . Precio,2020-2
Vidrio de cuarzo,Cerámicos,43.00,2200.00,72.00,30.00,48.00,0.00,1260.00,1.10,1300,Matweb . Azom .Precio,Laura Moreno
Cuarzo fundido,Cerámicos,36.00,2200.00,75.00,,700.00,,1000.00,1.50,1988.15,http://www.matweb.com/,2020-2
Silicato de titanio. 7971,Cerámicos,7.72,2205.00,68.00,30.30,30.30,0.05,90.85,6.40,1280,Ces Edupack 2019,ivan gongora 
Vidrio Pyrex,Cerámicos,3.00,2230.00,67.00,,300.00,,700.00,0.80,1700.00,MATWEB,2020-2
Grafito,Cerámicos,0.33,2260.00,10.00,,98.00,,200.00,1.45,3800.00, hojas-de-grafito,2020-2
SIGRAFINE® EK3205,Cerámicos,35.00,2300.00,30.00,85.00,260.00,,120.00,9.60,823.15,Sglcarbon. Costos,Argoty Avance 10
CORDIERTIA,Cerámicos,200.00,2300.00,125.00,40.00,15.00,,300.00,0.99,1100.00,MATWEB,2020-2
Yeso,Cerámicos,0.33,2320.00,24.00,,12.00,,24.00,0.46,1723.15,http://www.matweb.com/,2020-2
Concreto,Cerámicos,0.34,2400.00,41.00,,40.00,5.00,400.00,1.40,,,2020-2
Caliza,Cerámicos,10.10,2400.00,45.00,,32.00,,400.00,0.77,1172.00,http://www.matweb.com/,2020-2
VIDRIO DE BOROSILICATO,Cerámicos,8.82,2400.00,70.00,,280.00,,600.00,0.77,1073.15,MATWEB,2020-2
Piropilita tratada termicamente a 1250 °C,Cerámicos,1038.00,2400.00,300.00,34.40,151.60,,858.00,3.90,1873.15,Mathmatch. Costos,Argoty Avance 9
ANDESITA,Cerámicos,24.00,2425.00,40.00,,32.00,,400.00,0.76,1400.00,MATWEB,2020-2
BORURO DE CALCIO,Cerámicos,150.00,2430.00,451.00,,600.00,,1110.00,2.80,2508.15,MATWEB,2020-2
Gres,Cerámicos,13.00,2450.00,70.00,,11.00,25.00,5.50,1.30,1473.15,materconstrucc.revistas,2020-2
Óxido de boro,Cerámicos,6.00,2460.00,410.00,,350.00,,1000.00,3.20,753.00,Boron_trioxide,2020-2
Vidrio de cal sodada. 0080,Cerámicos,1.54,2465.00,70.00,32.60,32.60,0.05,461.50,6.45,790,Ces Edupack 2019,ivan gongora 
Serpentina,Cerámicos,13.80,2500.00,45.00,,23.00,,400.00,1.20,1808.15,http://www.matweb.com/,2020-2
Carburo de boro,Cerámicos,25.00,2500.00,400.00,,410.00,0.00,3200.00,4.20,2680.00,Azom . GoodFellow . Precio,2020-2
Vitrocerámica Mecanizable ,Cerámicos,32.50,2520.00,65.00,,34.00,0.00,400.00,1.54,1589.00,Azom. GoodFellow. Temperatura. Propiedades. Precio,2020-2
Ceramica de Vidrio Mecanizable,Cerámicos,247.00,2520.00,66.90,,25.50,,450.00,1.53,,Matweb. Precio ,Nikolai Fandiño
Granito,Cerámicos,1.00,2600.00,40.00,,9.50,,500.00,2.24,1500.00,http://www.matweb.com/,2020-2
Marmol,Cerámicos,1.80,2600.00,60.00,75.00,10.00,,700.00,0.53,573.20,http://www.matweb.com/,2020-2
Cuarzo cristalino,Cerámicos,280.00,2649.00,87.00,,700.00,,1161.00,0.57,1743.15,Matweb. Propiedades. Precio,Daisy Gutiérrez
Esteatita,Cerámicos,13.00,2650.00,103.00,,103.00,,530.00,2.00,1903.00,Coorstek .Temperatura. STC. Propiedades. Precio,2020-2
Vidrio transparente de estroncio alcalino. 9068,Cerámicos,7.24,2675.00,68.90,30.75,30.75,0.05,91.25,6.34,779,Ces Edupack 2019,ivan gongora 
Cuarcita,Cerámicos,250.00,2699.00,379.00,170.00,330.00,,2070.00,3.70,,Matweb. Precio ,Jonathan Acevedo
Calcita,Cerámicos,28.00,2700.00,69.90,,12.00,,120.00,0.32,1603.15,http://www.matweb.com/,2020-2
CARBURO DE VANADIO,Cerámicos,105.00,2710.00,344.00,,350.00,,2950.00,7.30,3003.15,MATWEB,2020-2
Silicato de bario. 7059,Cerámicos,4.16,2755.00,68.00,30.30,30.30,0.05,90.85,6.40,916,Ces Edupack 2019,ivan gongora 
Diabasa,Cerámicos,1.30,2800.00,85.00,,70.00,,600.00,1.20,1900.73,http://www.matweb.com/,2020-2
Basalto,Cerámicos,1.30,2850.00,80.00,,484.00,,1400.00,0.63,2150.15,http://www.matweb.com/,2020-2
Diorita,Cerámicos,30.00,2850.00,85.00,30.00,303.00,,700.00,10.20,2500,Matweb. Costos,Argoty Avance 7
Oxido de Berilio Thermalox 995,Cerámicos,25.68,2850.00,345.00,150.00,152.00,,106.30,3.50,2848.15,MatWeb. Costos,Nixon David Moreno
Oxido de beriliro (BeO),Cerámicos,40.00,2900.00,370.00,,140.00,0.00,1200.00,1.30,2800.00,Azom. Materials. MakeitFrom,2020-2
Mullita,Cerámicos,0.50,3000.00,150.00,,60.00,,774.00,0.98,2153.15,http://www.matweb.com/,2020-2
Gabro,Cerámicos,0.58,3017.00,211.00,180.00,230.00,0.10,920.00,1.18,,Matweb. Precio ,Jonathan Acevedo
Hidroxiapatita de calcio,Cerámicos,25.00,3100.00,10.00,,44.00,,231.00,0.75,1373.15,Matweb. Propiedades. Tenacidad. Precio,Daisy Gutiérrez
Titanato de Aluminio,Cerámicos,10.64,3100.00,20.00,25.00,30.00,,510.00,4.00,2113.15,Matmatch. Costos,Nixon David Moreno
Carburo de silicio,Cerámicos,680.00,3100.00,420.00,,4600.00,,2500.00,5.43,2800.00,MATWEB,2020-2
Fluoruro de magnesio,Cerámicos,3.20,3148.00,138.00,,60.00,,1200.00,0.43,1550.00,http://www.matweb.com/,2020-2
Nitruro de silicio,Cerámicos,150.00,3250.00,300.00,,537.00,0.00,1600.00,7.50,2173.00,Azom.GoodFellow. Materials. MakeitFrom. STC. Precio,2020-2
SIALON,Cerámicos,60.00,3250.00,300.00,,40.00,,1500.00,7.00,1700.00,MATWEB,2020-2
Nitruro de aluminio,Cerámicos,1148.00,3330.00,348.00,,270.00,,1800.00,2.75,2780,Coorstek .Azom . Article .Precio,Laura Moreno
Gneis,Cerámicos,0.65,3349.00,135.00,130.00,320.00,0.11,970.00,1.40,,Matweb. Precio ,Jonathan Acevedo
Óxido de aluminio ferro P87,Cerámicos,67.00,3480.00,148.00,,124.00,,985.00,3.90,,Matweb,Pablo Galvis
85% alúmina. cuerpo vítreo,Cerámicos,1.75,3543.00,240.00,92.00,160.00,1.00,570.00,12.00,1673,Matweb. Precio ,Jonathan Acevedo
Oxido de magnesio (MgO),Cerámicos,1.00,3600.00,207.00,,126.00,0.00,1300.00,2.75,390.00,Azom. Materials. Precio,2020-2
Alúmina GBC Grado 92,Cerámicos,150.00,3650.00,10.00,,190.00,,1300.00,6.50,1773,Matweb,Pablo Galvis
"		CeramTec V 38 Alúmina. 96.0% Al2O3-SiO2",Cerámicos,2.80,3737.00,297.00,210.00,350.00,2.40,1620.00,10.00,1473, Matweb. Precio ,Jonathan Acevedo
Alúmina 99.5%,Cerámicos,1.45,3900.00,300.00,,300.00,0.00,1765.00,4.50,2345.15,Azom . Matmacth . Propiedades . Precio,2020-2
Alumina. alpha Al2O3. 99.5%,Cerámicos,172.00,3900.00,370.00,350.00,260.00,,2000.00,4.00,2700,Matweb. Costos,Argoty Avance 6
Oxido de aluminio DUROX UHP,Cerámicos,10.40,3950.00,375.00,270.00,276.00,,169.77,5.00,2323.15,MatWeb. Costos,Nixon David Moreno
Oxido de Aluminio Alúmina,Cerámicos,315.00,3960.00,370.00,,300.00,,1365.00,4.00,2054,Matweb. Precio ,Nikolai Fandiño
Zafiro Mateck (AL2o3),Cerámicos,400.00,3980.00,462.60,,162.90,,2200.00,7.70,2303,Matweb,Pablo Galvis
Alúmina endurecida con Zirconia ZTA14,Cerámicos,1018.00,4170.00,338.00,,344.00,,1400.00,6.00,1773.00,Azom . Ceramtec . Chemsun . STC,2020-2
Dioxido de titanio,Cerámicos,10.00,4200.00,120.00,225.00,110.00,,980.00,4.56,2098.15,http://www.matweb.com/,2020-2
Barium Boride  bab6,Cerámicos,3.24,4350.00,271.00,253.00,800.00,,20.10,2.10,3043.15,sciencedirect .  americanelements . funcmater,Diego Rojas
Diboruro de titanio,Cerámicos,79.00,4460.00,540.00,,350.00,0.00,3060.00,5.50,3500.00,Azom . GoodFellow . Temperatura . Propiedades. Precio,2020-2
Sulfuro de calcio y lantano,Cerámicos,1.50,4500.00,96.00,105.00,60.00,,570.00,0.53,2100.00,http://www.matweb.com/,2020-2
Sulfuro de calcio y lantano,Cerámicos,23.50,4530.00,96.00,85.00,127.00,,565.00,0.53,2053.15,Matmatch. Costos,Nixon David Moreno
BORURO DE CERIO,Cerámicos,400.00,4790.00,379.00,,120.00,,1400.00,3.20,2823.15,MATWEB,2020-2
sulfuro de cadmio,Cerámicos,60.00,4826.00,45.00,,80.00,,157.00,1.30,1750.00,MATWEB,2020-2
Fluoruro de bario,Cerámicos,10.00,4830.00,65.40,,26.90,,157.00,7.90,1627.15,Matweb. Propiedades. Precio ,Daisy Gutiérrez
CARBURO DE TITANIO,Cerámicos,516.00,4940.00,459.00,59.00,258.00,,3200.00,6.72,3338.15,MATWEB,2020-2
Ferrita ceramica Alliance,Cerámicos,20.00,5000.00,150.00,34.50,50.00,,510.00,8.00,1528.15,Matmatch. Costos,NIxon David Moreno
Titanato de estroncio,Cerámicos,10.00,5110.00,180.00,,600.00,,1700.00,5.87,2350.00,MATWEB,2020-2
Recubrimiento de nitruro de titanio,Cerámicos,8.50,5200.00,600.00,,400.00,,1969.00,2.30,3223.15,http://www.matweb.com/,2020-2
Arseniuro de galio,Cerámicos,282.50,5316.00,85.00,,800.00,24.00,418.00,0.70,1511.15,Matweb. Propiedades. Fluencia. Tenacidad. Precio,Daisy Gutiérrez
Titanato de bario,Cerámicos,4.60,5500.00,67.00,59.30,52.00,,1600.00,0.75,1898.15,POLYMERS,2020-2
Zirconia estabilizada con magnesia,Cerámicos,2.30,5500.00,200.00,280.00,350.00,,93.00,0.90,2125.15,http://www.matweb.com/,2020-2
Óxido de cinc,Cerámicos,29.24,5606.00,115.00,,300.00,,507.00,1.23,2248.00,es.wikipedia.org,2020-2
Oxido de Circonio  ZrO2,Cerámicos,50.00,5680.00,210.00,230.00,330.00,32.00,11.77,15.00,2988.15,Matweb  .  Azom . Alibaba,Diego Rojas
Zirconia estabilizada con itria ,Cerámicos,563.00,6020.00,210.00,,550.00,,1250.00,10.00,2973.00,GoodFellow. STC,2020-2
Niobato de plomo y magnesio,Cerámicos,250.00,6100.00,61.00,,2000.00,,1000.00,15.00,443.00,MATWEB,2020-2
Zirconia,Cerámicos,254.00,6135.00,150.00,,400.00,0.00,1300.00,10.00,2900.00,Azom. Ceramtec. STC. Precio,2020-2
nitruro de galio,Cerámicos,550.00,6150.00,295.00,,2900.00,,1224.00,0.79,383.00,MATWEB,2020-2
CARBURO DE CIRCONIO ,Cerámicos,110.00,6645.00,385.50,,800.00,0.00,2000.00,3.00,3673.15,MATWEB,2020-2
Carburo de Cromo,Cerámicos,1436.00,6680.00,379.50,,1200.00,,2280.00,8.60,3800,Matweb. Precio ,Nikolai Fandiño
CARBURO DE NIOBIO,Cerámicos,175.00,7710.00,433.50,,244.00,,2400.00,7.70,3773.15,MATWEB,2020-2
CARBURO DE MOLIBDENO,Cerámicos,73.00,8690.00,390.00,,689.00,,1950.00,6.40,2778.15,MATWEB,2020-2
Carburo de Hafnio,Cerámicos,1294.00,12200.00,352.00,,390.00,,2200.00,3.80,4082.00,Azom . MatWeb . TACS . Precio,2020-2
CARBURO DE TANTALIO,Cerámicos,530.00,14300.00,481.50,193.50,291.00,,1790.00,6.63,4138.15,MATWEB,2020-2
CARBURO DE HAFNIO,Cerámicos,180.00,14480.00,352.00,,689.00,0.01,2150.00,12.00,3273.15,MATWEB,2020-2
CARBURO DE TUNGSTENO,Cerámicos,45.00,14800.00,420.00,140.00,344.00,0.00,2150.00,3.00,3058.15,MATWEB,2020-2
erg aerospace duocel® aluminum metal foam,Compuestos,294.00,81.00,0.05,1.24,2.70,0.30,211.00,0.15,933.00,Distruidor  costo  metals,2020-2
Balsa de grano final (0.095),Compuestos,8.42,98.95,0.07,11.00,15.00,4.00,56.00,9.80,363,Ces Edupack 2019,ivan gongora 
DIAB Divinycell P 100 Sandwich Core Material,Compuestos,115.00,110.00,0.07,1.00,1.80,12.00,300.00,10.00,781.00,Matweb costo Research,2020-2
Cymat A35620SC 020SS Stabilized Aluminum Foam,Compuestos,13.70,200.10,24.00,53.00,70.00,9.20,12.00,1.94,573,Matweb. Precio ,Jonathan Acevedo
Compuestos aplicados 8007 Poliéster SMC,Compuestos,1.77,247.00,8.96,43.70,89.60,0.70,67.00,1.80,477,Matweb. Precio ,Jonathan Acevedo
                ERG Aerospace Duocel® Aluminum Metal Foam,Compuestos,87.80,323.90,0.08,0.65,1.24,2.70,18.00,10.00,933,Matweb. Precio ,Jonathan Acevedo
Madera de Abeto Noble,Compuestos,5.00,350.00,9.51,,0.04,,1290.00,9.50,,,Nikolai Fandiño
Madera de Abeto magnifico ,Compuestos,4.00,360.00,8.62,,0.04,,1601.00,8.70,,,Nikolai Fandiño
Madera de fresno negro americano,Compuestos,3.00,460.00,34.00,70.03,96.00,,2400.00,6.90,,,Nikolai Fandiño
Compuesto aislante de polietileno Borealis Borlink ™ LE4244EHV. reticulable,Compuestos,0.27,921.70,0.07,1.57,3.40,12.00,19.00,1.97,413.15,Matweb. Precio ,Jonathan Acevedo
Tablero de fibras (EHL),Compuestos,425.00,950.00,8.70,27.00,45.00,0.60,345.00,0.75,363,Ces Edupack 2019,ivan gongora 
Polypropylene TPO Compound,Compuestos,35.00,990.00,1.75,23.00,30.00,6.00,30.00,34.00,533.15,Prospector. Costo,2020-2
KR47035 Acrilonitrilo butadieno estireno + nylon (ABS+Nylon),Compuestos,7.00,1080.00,2.00,45.00,231.00,20.00,120.00,12.00,503.15,Prospector. ,2020-2
PP+W50 (Polypropylene Reinforced with 50% Wood),Compuestos,3.50,1100.00,3.20,,20.00,1.50,120.00,34.00,408.15,Matmatch. Costo. LinkSpringer,2020-2
DuraVision 5050 Methyl Methacrylate / ABS+TPU,Compuestos,3.75,1130.00,2.10,18.00,39.00,60.00,26.43,21.00,498.15,Prospector. Rochling. Costo,2020-2
VESTALITE® P 311,Compuestos,150.00,1130.00,3.40,85.00,115.00,2.30,243.00,1.70,441.15,Mathmatch. Costos,Argoty Avance 18
PA 6 MOS2,Compuestos,4.00,1140.00,3.10,82.00,84.00,30.00,16.31,34.00,493.00,Ensinger,2020-2
PA 6 C OIL FILLED,Compuestos,2.40,1140.00,3.10,70.00,95.00,50.00,15.30,21.00,489.00,Ensinger,2020-2
PA 66 WITH MOS2,Compuestos,3.40,1150.00,3.20,83.00,114.00,40.00,17.13,12.00,526.00,Ensinger. Alibaba,2020-2
Epoxy Resin T26,Compuestos,5.30,1170.00,65.00,,354.00,5.60,105.00,0.62,,Costo itecma,2020-2
PA12 GF30,Compuestos,1.50,1220.00,5.70,80.00,110.00,8.00,12.24,5.00,443.00,Performance Plastic. Matmach,2020-2
