Nombre,Familia,Precio [USD/kg],Densidad [kg/m^3],Modulo de Young [GPa],Esfuerzo de Fluencia [MPa],Esfuerzo Último [MPa],Elongación [%],Dureza [Vickers],Tenacidad a la fractura [MPa m^1/2],Temperatura de fusión [K],Fuente,Persona
AMS 4880 Nickel aluminum bronze,Metales,28.91,7530.00,110.00,445.00,752.00,10.50,530.40,167.00,1319.15,Mathmatch. Costos,Nixon David Moreno
Aleación de Berilio,Metales,900.00,7570.00,155.00,672.00,811.00,13.60,269.00,9.00,1283.15,MatWeb. Alibaba,2020-2
Niquel-Aluminio-Bronce UNS C63000,Metales,16.00,7580.00,125.00,370.00,766.00,21.00,200.00,41.00,1308.15,Matweb. Alibaba,2020-2
Bronce. CuAl10Fe3. C95200. fundido (bronce de aluminio),Metales,6.06,7640.00,101.50,185.00,545.00,29.00,115.00,56.85,1313,Ces Edupack 2019,ivan gongora 
Acero Martensitico,Metales,2.50,7720.00,201.00,961.00,1180.00,13.70,526.00,190.00,1036.15,MatWeb.,2020-2
AK Steel 430 Ferritic Stainless steel,Metales,18.00,7740.00,200.00,310.00,483.00,25.00,204.00,176.00,2750.15,scielo Matweb. Quiminet,2020-2
ASTM A285 STEEL,Metales,0.59,7800.00,190.00,165.00,450.00,27.00,200.00,167.00,1777.5,Matweb . Alibaba.  tubingchina,Diego Rojas
420 Stainless Steel,Metales,33.00,7800.00,200.00,170.00,115.00,65.00,641.00,187.00,1783.15,scielo Matweb. Quiminet,2020-2
S355JR Laminado en frio,Metales,0.69,7800.00,200.00,325.00,680.00,18.00,187.00,36.00,1733.15,Mathmatch. Costos,Argoty Avance 2
Nitrodur 8524 QT,Metales,30.00,7800.00,210.00,700.00,900.00,14.00,290.00,13.00,1900,Swiss Steel Group. Costos,Argoty Avance 5
Aisi 6145 Normalizado,Metales,0.60,7800.00,210.00,620.00,940.00,22.00,248.00,25.00,1802.15,Mathmatch. Costos,Argoty Avance 1
Duplex,Metales,11.30,7820.00,199.00,610.00,917.00,23.60,646.00,65.00,1323.15,MatWeb. Nexans,2020-2
Acero AISI 1040,Metales,10.00,7845.00,200.00,290.00,525.00,20.00,155.00,134.00,1268.15,scielo Matweb. Quiminet,2020-2
Acero AISI 1038,Metales,0.50,7845.00,205.00,485.00,570.00,12.00,170.00,143.00,1400,Matweb,Pablo Galvis
Acero AISI 1095 ,Metales,1.20,7850.00,190.00,525.00,965.00,10.00,309.00,120.00,1788.15,Matweb . Alibaba.  Azom,Diego Rojas
Acero de aleación AISI 4130,Metales,0.50,7850.00,190.00,419.00,628.65,25.50,207.00,187.00,1705.15,Matweb   . SteelPengbo. Azom,Diego Rojas
Acero AISI 1035,Metales,0.50,7850.00,196.00,370.00,585.00,30.00,192.00,167.00,1843,Matweb,Pablo Galvis
AISI 4340 Steel,Metales,1.47,7850.00,200.00,470.00,745.00,22.00,228.00,186.00,830.00,Matweb. Azom. Indiamart,2020-2
AISI 4140 Alloy Steel,Metales,0.75,7850.00,200.00,415.00,655.00,25.70,207.00,176.00,1689.15,Matweb. Alibaba. Azom,2020-2
Acero AISI1037,Metales,0.60,7850.00,200.00,279.00,510.00,18.00,143.00,176.00,1973,Matweb,Pablo Galvis
ASTM A36,Metales,0.55,7850.00,200.00,250.00,400.00,20.00,167.50,134.00,1698.15,Matweb. SCIELO. Azom. Alibaba,Diego Rojas
5160 Stainless Steel,Metales,17.00,7850.00,205.00,650.00,1025.00,55.00,301.00,193.00,1038.15,scielo Matweb. Quiminet,2020-2
Acero AISI 1080,Metales,15.00,7850.00,205.00,585.00,965.00,12.00,309.00,98.00,1345.15,scielo Matweb. Quiminet,2020-2
Acero AISI 1050,Metales,0.95,7850.00,205.00,415.00,725.00,20.00,241.00,100.00,1447.00,http://www.matweb.com/. Propiedades. Precio,2020-2
Acero AISI 1060,Metales,0.75,7850.00,205.00,485.00,814.00,17.00,254.00,120.00,1480.00,http://www.matweb.com/. Propiedades. Precio,2020-2
AISI 8620 Steel,Metales,0.65,7850.00,205.00,360.00,635.00,65.00,192.00,195.00,1027.15,scielo Matweb. Quiminet,2020-2
Acero AISI 1070,Metales,0.63,7850.00,205.00,495.00,640.00,10.00,201.00,105.00,1490.00,http://www.matweb.com/. Propiedades. Precio,2020-2
Acero AISI 1141,Metales,0.58,7850.00,205.00,360.00,650.00,15.00,196.00,145.00,1467,Matweb,Pablo Galvis
Acero AISI 1090,Metales,0.50,7850.00,205.00,540.00,696.00,10.00,207.00,115.00,1514.00,http://www.matweb.com/. Propiedades. Precio,2020-2
AISI 1045 Steel,Metales,2.50,7850.00,206.00,530.00,625.00,12.00,188.00,167.00,1523.15,Matweb. Alibaba,2020-2
Acero AISI 1030,Metales,1.10,7850.00,206.00,345.00,550.00,32.00,188.00,107.00,1600.00,http://www.matweb.com/. Propiedades. Precio,2020-2
AISI 1021. Normalizado  ,Metales,0.70,7858.00,200.00,365.00,486.00,35.70,149.00,108.00,1198.15,MatWeb. Alibaba,2020-2
AISI 1022. Normalizado,Metales,0.70,7858.00,205.00,360.00,485.00,34.00,149.00,100.00,1198.15,MatWeb. Alibaba,2020-2
Acero AISI 1000,Metales,1.50,7860.00,201.00,450.00,649.00,19.80,197.00,90.00,1703.15,MatWeb . Alibaba,2020-2
Hierro. Fe,Metales,0.06,7861.00,200.00,73.00,540.00,9.60,150.00,87.00,1653,Matweb. Precio . Propiedades,Jonathan Acevedo
Acero 1020 cold rolled,Metales,0.80,7870.00,186.00,379.00,420.00,25.00,126.00,130.00,1093.15,scielo Matweb. Quiminet,2020-2
AISI 1018 Steel,Metales,0.54,7870.00,200.00,415.00,585.00,18.00,149.00,110.00,1024.15,scielo Matweb. Quiminet,2020-2
AISI 1015 laminado,Metales,0.50,7870.00,200.00,315.00,420.00,39.00,131.00,98.00,1110.00,MatWeb. Alibaba,2020-2
AISI 1020 Carbon Steel,Metales,1.87,7870.00,205.00,350.00,420.00,15.00,126.00,56.00,1255.15,matweb. Azom. IndianMart,2020-2
Acero AISI 1010,Metales,0.64,7870.00,205.00,305.00,365.00,20.00,108.00,76.00,1650.15,MatWeb. Alibaba,2020-2
Acero AISI 1008,Metales,0.50,7872.00,200.00,170.00,305.00,30.00,88.00,35.00,1699.15,MatWeb. Alibaba,2020-2
Stainless Steel Type 904L  UNS N08904,Metales,3.25,7900.00,200.00,200.00,490.00,35.00,148.00,186.00,1405.65,Matweb. Alibaba. Azom,2020-2
ASTM A508 Grado 3V,Metales,1.00,7900.00,215.00,415.00,760.00,18.00,197.00,100.00,1802.15,Mathmatch. Costos,Argoty Avance 3
Acero Austenitico ,Metales,3.80,7930.00,196.00,591.00,1020.00,35.50,265.00,60.00,1673.15,MatWeb . Alibaba,2020-2
